id,place_id,code,name,normalized_query_name,full_name,level,province,city,county,town,collection_phase,priority,status,source_strategy,risk_flag,attempt_count,last_attempt_at,error,created_at,updated_at
next_origin:admin_street_pilot:ac77bbf15037f8fc0d163ba94eda4737fa9f396d,ac77bbf15037f8fc0d163ba94eda4737fa9f396d,110101001,东华门街道,东华门街道,北京市/市辖区/东城区/东华门街道,town,北京市,市辖区,东城区,东华门街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,0,,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:41c5b184bbb8770f4f85512ce89b260b62699e36,41c5b184bbb8770f4f85512ce89b260b62699e36,110101002,景山街道,景山街道,北京市/市辖区/东城区/景山街道,town,北京市,市辖区,东城区,景山街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:149fe7a757ff782b1fad0a0f4dcb281f51621d42,149fe7a757ff782b1fad0a0f4dcb281f51621d42,110101003,交道口街道,交道口街道,北京市/市辖区/东城区/交道口街道,town,北京市,市辖区,东城区,交道口街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:4317459348b34c84c8fe6eae217c00936c6488e0,4317459348b34c84c8fe6eae217c00936c6488e0,110101004,安定门街道,安定门街道,北京市/市辖区/东城区/安定门街道,town,北京市,市辖区,东城区,安定门街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:165f4b8ac3e3b73c05b10fe556b7d2665457ae03,165f4b8ac3e3b73c05b10fe556b7d2665457ae03,110101005,北新桥街道,北新桥街道,北京市/市辖区/东城区/北新桥街道,town,北京市,市辖区,东城区,北新桥街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:d14e50849253e1fd125b0a7ba98762c85ac1ce44,d14e50849253e1fd125b0a7ba98762c85ac1ce44,110101006,东四街道,东四街道,北京市/市辖区/东城区/东四街道,town,北京市,市辖区,东城区,东四街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:3c085dc53efa8b3cc81d99a8db41c7ce6bbc885e,3c085dc53efa8b3cc81d99a8db41c7ce6bbc885e,110101007,朝阳门街道,朝阳门街道,北京市/市辖区/东城区/朝阳门街道,town,北京市,市辖区,东城区,朝阳门街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:ecdd2e53c92d58f24d286cc267c8e90eb9f61134,ecdd2e53c92d58f24d286cc267c8e90eb9f61134,110101008,建国门街道,建国门街道,北京市/市辖区/东城区/建国门街道,town,北京市,市辖区,东城区,建国门街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:a3cd79e2a8cbfe3a1f0377d303d855f2b0cac56c,a3cd79e2a8cbfe3a1f0377d303d855f2b0cac56c,110101009,东直门街道,东直门街道,北京市/市辖区/东城区/东直门街道,town,北京市,市辖区,东城区,东直门街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:332f4cff9f60e3bf98ba8f7e18fc819dfb3310bb,332f4cff9f60e3bf98ba8f7e18fc819dfb3310bb,110101010,和平里街道,和平里街道,北京市/市辖区/东城区/和平里街道,town,北京市,市辖区,东城区,和平里街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
next_origin:admin_street_pilot:14a2080b21fcc7730bf76df6f4356eda60ccd631,14a2080b21fcc7730bf76df6f4356eda60ccd631,110101011,前门街道,前门街道,北京市/市辖区/东城区/前门街道,town,北京市,市辖区,东城区,前门街道,admin_street_pilot,40,done,mca_geonames_fast;official_first,,1,2026-07-21T05:52:32.788330+00:00,,2026-07-21T05:52:15.924559+00:00,2026-07-21T09:58:55.356621+00:00
